MonitoringID,Year,Month,Day,rain_mm,Date_bomrainfall
BOM_087184,2021,5,26,5,26/05/2021
BOM_087184,2021,5,27,0.4,27/05/2021
BOM_087184,2021,5,28,0,28/05/2021
BOM_087184,2021,5,29,0,29/05/2021
BOM_087184,2021,5,30,0,30/05/2021
BOM_087184,2021,5,31,0.2,31/05/2021
BOM_087184,2021,6,1,0,1/06/2021
BOM_087184,2021,6,2,0,2/06/2021
BOM_087184,2021,6,3,0,3/06/2021
BOM_087184,2021,6,4,0.6,4/06/2021
BOM_087184,2021,6,5,0,5/06/2021
BOM_087184,2021,6,6,0.8,6/06/2021
BOM_087184,2021,6,7,0,7/06/2021
BOM_087184,2021,6,8,2.2,8/06/2021
BOM_087184,2021,6,9,9,9/06/2021
BOM_087184,2021,6,10,9.2,10/06/2021
BOM_087184,2021,6,11,2.8,11/06/2021
BOM_087184,2021,6,12,0.6,12/06/2021
BOM_087184,2021,6,13,0,13/06/2021
BOM_087184,2021,6,14,0,14/06/2021
BOM_087184,2021,6,15,0,15/06/2021
BOM_087184,2021,6,16,3.4,16/06/2021
BOM_087184,2021,6,17,0,17/06/2021
BOM_087184,2021,6,18,0,18/06/2021
BOM_087184,2021,6,19,2.2,19/06/2021
BOM_087184,2021,6,20,0.2,20/06/2021
BOM_087184,2021,6,21,0.2,21/06/2021
BOM_087184,2021,6,22,0,22/06/2021
BOM_087184,2021,6,23,0,23/06/2021
BOM_087184,2021,6,24,0,24/06/2021
BOM_087184,2021,6,25,15.2,25/06/2021
BOM_087184,2021,6,26,2,26/06/2021
BOM_087184,2021,6,27,0,27/06/2021
BOM_087184,2021,6,28,0,28/06/2021
BOM_087184,2021,6,29,0,29/06/2021
BOM_087184,2021,6,30,0.2,30/06/2021
BOM_087184,2021,7,1,0,1/07/2021
BOM_087184,2021,7,2,0.6,2/07/2021
BOM_087184,2021,7,3,2.6,3/07/2021
BOM_087184,2021,7,4,1,4/07/2021
BOM_087184,2021,7,5,0,5/07/2021
BOM_087184,2021,7,6,0,6/07/2021
BOM_087184,2021,7,7,0,7/07/2021
BOM_087184,2021,7,8,0,8/07/2021
BOM_087184,2021,7,9,0,9/07/2021
BOM_087184,2021,7,10,0,10/07/2021
BOM_087184,2021,7,11,0.2,11/07/2021
BOM_087184,2021,7,12,0,12/07/2021
BOM_087184,2021,7,13,3.4,13/07/2021
BOM_087184,2021,7,14,1.8,14/07/2021
BOM_087184,2021,7,15,1.2,15/07/2021
BOM_087184,2021,7,16,0,16/07/2021
BOM_087184,2021,7,17,0,17/07/2021
BOM_087184,2021,7,18,1,18/07/2021
BOM_087184,2021,7,19,0,19/07/2021
BOM_087184,2021,7,20,0.2,20/07/2021
BOM_087184,2021,7,21,12.8,21/07/2021
BOM_087184,2021,7,22,0,22/07/2021
BOM_087184,2021,7,23,0,23/07/2021
BOM_087184,2021,7,24,0,24/07/2021
BOM_087184,2021,7,25,4.8,25/07/2021
BOM_087184,2021,7,26,3,26/07/2021
BOM_087184,2021,7,27,1.6,27/07/2021
BOM_087184,2021,7,28,0,28/07/2021
BOM_087184,2021,7,29,2.4,29/07/2021
BOM_087184,2021,7,30,0,30/07/2021
BOM_087184,2021,7,31,0,31/07/2021
BOM_087184,2021,8,1,8.2,1/08/2021
BOM_087184,2021,8,2,0,2/08/2021
BOM_087184,2021,8,3,0.6,3/08/2021
BOM_087184,2021,8,4,0,4/08/2021
BOM_087184,2021,8,5,0.2,5/08/2021
