DateTime,Temp (deg),EC@25 (uS/cm),SensorID
1/05/2025 22:48,14.5,1361,Odyssey15013
1/05/2025 20:51,15.37,1943,Odyssey15014
1/05/2025 20:48,14.86,1392,Odyssey15013
1/05/2025 18:51,15.84,1892,Odyssey15014
1/05/2025 18:48,15.14,1347,Odyssey15013
1/05/2025 16:51,16.07,1872,Odyssey15014
1/05/2025 16:48,15.26,1333,Odyssey15013
1/05/2025 14:51,15.72,1889,Odyssey15014
1/05/2025 14:48,15.15,1361,Odyssey15013
1/05/2025 12:51,15.18,1916,Odyssey15014
1/05/2025 12:48,14.39,1416,Odyssey15013
1/05/2025 10:51,14.57,1936,Odyssey15014
1/05/2025 10:48,14.16,1329,Odyssey15013
1/05/2025 8:51,14.16,1923,Odyssey15014
1/05/2025 8:48,14.2,1333,Odyssey15013
1/05/2025 6:51,14.52,1933,Odyssey15014
1/05/2025 6:48,14.37,1291,Odyssey15013
1/05/2025 4:51,14.87,1953,Odyssey15014
1/05/2025 4:48,14.61,1291,Odyssey15013
1/05/2025 2:51,15.03,1974,Odyssey15014
1/05/2025 2:48,14.88,1329,Odyssey15013
1/05/2025 0:51,15.16,1977,Odyssey15014
1/05/2025 0:48,15.3,1426,Odyssey15013
30/04/2025 22:51,15.35,1984,Odyssey15014
30/04/2025 22:48,15.45,1447,Odyssey15013
30/04/2025 20:51,15.71,1987,Odyssey15014
30/04/2025 20:48,15.65,1430,Odyssey15013
30/04/2025 18:51,16.33,1984,Odyssey15014
30/04/2025 18:48,15.85,1371,Odyssey15013
30/04/2025 16:51,16.99,1987,Odyssey15014
30/04/2025 16:48,16.09,1357,Odyssey15013
30/04/2025 14:51,16.84,1950,Odyssey15014
30/04/2025 14:48,15.97,1336,Odyssey15013
30/04/2025 12:51,16.34,1909,Odyssey15014
30/04/2025 12:48,15.58,1381,Odyssey15013
30/04/2025 10:51,15.52,1923,Odyssey15014
30/04/2025 10:48,15.25,1516,Odyssey15013
30/04/2025 8:51,15.18,1919,Odyssey15014
30/04/2025 8:48,14.77,1260,Odyssey15013
30/04/2025 6:51,15.24,1933,Odyssey15014
30/04/2025 6:48,14.97,1302,Odyssey15013
30/04/2025 4:51,15.3,1946,Odyssey15014
